school,canonical_name,abbreviation,nicknames,city,state,conference,latitude,longitude,population,stadium_capacity
Army,United States Military Academy West Point,army,Black Knights,West Point,New York,Independent,41.37997,-73.962135,6763,None
Air Force,Air Force Academy,afa,Falcons,Colorado Springs,Colorado,Mountain West,39.00846,-104.89046,465101,None
Auburn,Auburn University,au,Tigers,Auburn,Alabama,SEC,32.5933574,-85.4951663,42746,None
Ball State,Ball State University,bsu,Cardinals,Muncie,Indiana,MAC,40.2061028,-85.406986,115603,None
Baylor,Baylor University,bu,Bears,Waco,Texas,Big 12,31.549841,-97.1143146,265207,None
Boise State,Boise State University,bsu,Broncos,Boise,Idaho,Mountain West,43.6033127,-116.201649,691423,None
Boston College,Boston College,bc,Eagles,Chestnut Hill,Massachusetts,ACC,42.3355488,-71.1684945,4794447,None
Bowling Green,Bowling Green State University,bgsu,Falcons,Bowling Green,Ohio,MAC,41.3797788,-83.6300826,171122,None
Buffalo,University of Buffalo,ub,Bulls,Buffalo,New York,MAC,43.0008093,-78.7889697,1132804,None
Brigham Young,Brigham Young University,byu,Cougars,Provo,Utah,Independent,40.2518435,-111.6493156,603309,None
Berkeley,University of California Berkeley,cal,Golden Bears,Berkeley,California,Pac-12,37.8022945,-122.271448,121240,None
Fresno State,California State University Fresno,fsu,Bulldogs,Fresno,California,Mountain West,36.8133636,-119.7460937,979915,None
UCLA,University of California Los Angeles,ucla,Bruins,Los Angeles,California,Pac-12,34.068921,-118.4451811,13310447,None
Central Florida,University of Central Florida,ucf,Knights,Orlando,Florida,American,28.6024274,-81.2000599,2441257,None
Central Michigan,Central Michigan University,cmu,Chippewas,Mount Pleasant,Michigan,MAC,43.5819086,-84.7756364,71282,None
Charlotte,University of North Carolina at Charlotte,uncc,49ers,Charlotte,North Carolina,C-USA,35.3070929,-80.735164,2474314,None
Cincinnati,University of Cincinatti,uc,Bearcats,Cincinnati,Ohio,American,39.1329219,-84.5149504,2165139,None
Clemson,Clemson University,cu,Tigers,Clemson,South Carolina,ACC,34.6760942,-82.8364148,16058,None
Coastal Carolina,Coastal Carolina University,ccu,Chanticleers,Conway,South Carolina,Sun Belt,33.7949658,-79.01173,734622,None
Colorado,University of Colorado,cu,Buffaloes,Boulder,Colorado,Pac-12,40.007581,-105.2659417,322226,None
Connecticut,University of Connecticut,uconn,Huskies,Storrs,Connecticut,American,41.8077414,-72.2539805,24558,None
Duke,Duke University ,du,Blue Devils,Durham,North Carolina,ACC,36.0014258,-78.9382286,559535,None
Eastern Michigan,Eastern Michigan University,emich,Eagles,Ypsilanti,Michigan,MAC,42.2506803,-83.624089,21018,None
East Carolina,East Carolina University,ecu,Pirates,Greenville,North Carolina,American,35.6055108,-77.3645653,51778,None
Florida International,Florida International University,fiu,Panthers,Miami,Florida,C-USA,25.756576,-80.373949,31691,None
Florida,University of Florida,uf,Gators,Gainesville,Florida,SEC,29.6436325,-82.3549302,196637,None
Florida Atlantic,Florida Atlantic University,fau,Owls,Boca Raton,Florida,C-USA,26.3739379,-80.1015277,96114,None
Florida State,Florida State University,fsu,Seminoles,Tallahassee,Florida,ACC,30.4418778,-84.2984889,379627,None
Georgia,University of Georgia,uga,Bulldogs,Athens,Georgia,SEC,33.9480053,-83.3773221,52850,None
Georgia Southern,Georgia Southern University,gsu,Eagles,Statesboro,Georgia,Sun Belt,32.4205489,-81.7865347,74722,None
Georgia State,Georgia State University,gsu,Panthers,Atlanta,Georgia,Sun Belt,33.753068,-84.3852819,5789700,None
Georgia Tech,Georgia Tech University,gt,Yellow Jackets,Atlanta,Georgia,ACC,33.7756178,-84.396285,5789700,None
Hawai'i,University of Hawaii,uh,Rainbow Warriors,Honolulu,Hawai'i,Mountain West,21.2991857,-157.8171978,992605,None
Houston,University of Houston,uh,Cougars,Houston,Texas,American,29.7199489,-95.3422334,6772470,None
Idaho,University of Idaho,ui,Vandals,Moscow,Idaho,Sun Belt,46.7288124,-117.0126084,39196,None
Illinois,University of Illinois at Urbana-Champaign,ui,Fighting Illini,Urbana–Champaign,Illinois,Big Ten,40.1019523,-88.2271615,238554,None
Indiana,University of Indiana,ui,Hoosiers,Bloomington,Indiana,Big Ten,39.1761275,-86.5130583,166336,None
Iowa,University of Iowa,ui,Hawkeyes,Iowa City,Iowa,Big Ten,41.6626963,-91.5548998,168828,None
Iowa State,Iowa State University,isu,Cyclones,Ames,Iowa,Big 12,42.0266187,-93.6464654,97090,None
